Organization,Facility/Area,Use Case,Method/Frequency,Regulatory Status,Platform/Vendor,Sensor/Data,Key Facts,Year,Source,Flight_Frequency,Altitude_AGL_ft,Accuracy_Gain_pct,Expansion_Plans
"BNSF Railway","Intermodal facilities (e.g., Logistics Park Chicago)","Automated Yard Check (AYC) inventory","Drone-in-a-box flights; OCR reads container IDs and slot numbers; thermal imagery for security","BVLOS approval; working toward multi-drone per pilot","DroneDeploy automation; BNSF UAS Program","RGB imagery; thermal at night; AI/OCR","Mapped ~50,000 parking spaces; real-time inventory visibility; do not fly over people/vehicles","2023","https://dronelife.com/2023/10/11/what-automation-really-looks-like-bnsf-railway-on-drone-docks-inventory-management-and-more-from-the-floor-of-ddc-23/","30–90 minutes","","","Scale to 6 more locations"
"BNSF Railway","Intermodal facilities (e.g., San Bernardino; Logistics Park Chicago)","Automated Yard Check (AYC) inventory","Frequent automated flights; tens of thousands of frames per day; hostlers with cameras augment data","—","—","Video frames; OCR/AI","Improved inventory accuracy by 20%; faster drop-off/pick-up; better space utilization","2025","https://bnsf.com/news-media/railtalk/innovation/artificial-intelligence.html","Daily (frequent)","","20","More yard checks than manual; ongoing expansion"
"BNSF Railway","Nationwide (above BNSF property)","Remote BVLOS yard security, emergency response, infrastructure inspections","Dock-based drones operated remotely; remote pilot not physically present","FAA nationwide waiver for remote, dock-based BVLOS ops (2021–2023)","Skydio dock","Visual/thermal imagery","Ops up to 100 ft AGL; dock-based launch/land","2021","https://uavcoach.com/bnsf-remote-ops-waiver/","As needed","100","","—"
"BNSF Railway","New Mexico (132-mile track)","BVLOS long-range infrastructure inspection","Programmed autonomous flight over 132 miles of track; operators monitor from control stations","FAA Pathfinder program BVLOS","Fixed-wing BVLOS aircraft; Collins Aerospace CNPC radios","High-resolution imagery","First civil BVLOS inspection flight over 132 miles; CNPC command-and-control network","2016","https://www.progressiverailroading.com/bnsf_railway/article/Inside-BNSFs-advanced-drone-inspection-operation--57346","Scheduled test flights","","","—"
"BNSF Railway","Intermodal facilities","Drone-based automated yard check and GIS mapping","Automated UAS data collection; ML detection/OCR; GIS conversion","—","—","Images/video; metadata; ML OCR; GIS coordinates","US Patent 12,056,931 describing end-to-end automated yard check workflow","2024","https://patents.justia.com/patent/12056931","","","","—"
"BNSF Railway","—","Railway inspection and data acquisition","Testing Staaker Railway Drone; flexible data collection platform","—","Nordic Unmanned Staaker Railway Drone","—","First-phase collaboration to test platform and use cases","2022","https://www.unmannedsystemstechnology.com/2022/09/bnsf-railway-tests-nordic-unmanned-railway-inspection-drone/","","","","—"
"CSX Transportation","13 sites across 10 locations (rail yards)","Autonomous rail yard defect detection","DJI M350 RTK in docks; preprogrammed missions; edge ML; Azure-triggered launches when track available","FAA BVLOS waivers; detect-and-avoid (CASIA G)","DJI M350 RTK; Hextronics Atlas dock; FlytBase","Phase One IXM 100 imagery; ML detects defects","Detects defects as small as 1/8 inch; remote operations center; GIS-integrated workflow","2025","https://www.flytbase.com/case-studies/csx-autonomous-drone-rail-inspection","Triggered when track available","100","","Scaling to numerous locations in 2025"
"Union Pacific","System-wide","Yard audits; storm assessments; derailment analysis; bridge/tunnel inspections; exploring autonomous yard drones","Manual and semi-automated operations; >250 certified pilots; new portable monitors for inspections","—","Automodality AMROS/Perceptive Navigation (for confined spaces)","High-resolution imagery; security monitoring","Inspects 16,900+ bridges; uses drones for security; exploring autonomous yard broken-rail detection","2024","https://www.up.com/news/safety/drones-safe-operations-it-240628","Varies by mission","100","","Exploring autonomous drones; potential 3D imagery"
"Norfolk Southern","System-wide (derailment sites; bridges; slopes)","Track slope inspections; supplemental bridge inspections; aerial surveys; derailment assessment","FAA-certified pilots; VLOS operations; rapid assessment to plan repairs","Part 107 VLOS","—","High-resolution imagery","Determined track panel counts before car removal; safer emergency observation","2019","https://www.progressiverailroading.com/mow/article/Railroads-continue-to-tap-drone-technology-to-inspect-track-bridges--57270","Ad hoc/scheduled","","","—"
"Canadian National (CN)","System-wide (bridges; some yard survey data)","Supplemental bridge inspections; yard-related survey","Two full-time FAA-certified operators; VLOS","Part 107 VLOS","—","Cameras; imagery","Improved safety by reducing need to have people on bridges/track","2019","https://www.progressiverailroading.com/mow/article/Railroads-continue-to-tap-drone-technology-to-inspect-track-bridges--57270","Scheduled/ad hoc","","","—"
"Kansas City Southern (now part of CPKC)","System-wide (bridges)","Explored drone inspections as supplemental tool","Determined drones not yet adequate to fully assess bridge elements; relies on under-bridge inspection vehicle","Part 107 VLOS","—","Imagery","Drones have value as supplemental tool; traditional inspections remain primary","2020","https://www.progressiverailroading.com/short_lines_regionals/article/Short-lines-gain-a-new-perspective-on-drone-inspection--59910","","","","—"
"Norfolk & Portsmouth Belt Line Railroad","Elizabeth River mechanical lift bridge (Portsmouth, VA)","Bridge inspection while in operation","Drone video inspection capturing pins/bearings under load; no shutdown","Part 107 VLOS","American Rail Engineers (ARE) contractor","Video imagery","800-foot length; 200-foot height; inspection while operational","2020","https://www.progressiverailroading.com/short_lines_regionals/article/Short-lines-gain-a-new-perspective-on-drone-inspection--59910","","","","—"
"Watco Companies (Shortline)","Ohio River Bridge (~4,000 ft; five-truss)","Drone-supplemented bridge inspection","Pre-search with drones to pinpoint areas needing tactile inspection; minimized shutdown","Part 107 VLOS","American Rail Engineers (ARE) contractor","Imagery; photogrammetry","Cut inspection from ~1 week to ~2 days; reduced mainline shutdown","2020","https://www.progressiverailroading.com/short_lines_regionals/article/Short-lines-gain-a-new-perspective-on-drone-inspection--59910","","","","—","","","","Exploring autonomous yard drones; growing pilot base"
"Norfolk Southern","System-wide","Track slope inspections; supplemental bridge inspections; aerial surveys; derailment assessments","FAA-certified drone pilots conduct targeted inspections and incident surveys","—","—","High-resolution imagery","Eight FAA-certified drone pilots by Oct 2018; drones used to determine damaged track length and panel counts post-derailment","2018","https://www.progressiverailroading.com/mow/article/Railroads-continue-to-tap-drone-technology-to-inspect-track-bridges--57270","","","","—"
"Canadian National (CN)","System-wide","Supplemental bridge inspections; yard-related survey data collection","Two full-time FAA-certified operators deploy drones for bridge inspections and surveys","—","—","High-resolution imagery; survey data","Main benefit is improved safety by reducing need for people on bridges/track; operated drones since 2016","2019","https://www.progressiverailroading.com/mow/article/Railroads-continue-to-tap-drone-technology-to-inspect-track-bridges--57270","","","","—"
"Norfolk & Portsmouth Belt Line Railroad (NPBL)","Elizabeth River mechanical lift bridge, Portsmouth, VA","Bridge inspection while in operation","Engineering contractor (ARE Corp.) deployed drones to inspect 800-ft long, 200-ft high bridge without interrupting operations","—","ARE Corp.","High-resolution imagery; video","Drones enabled viewing pins/bearings under load; inspection feasible without shutdowns","2020","https://www.progressiverailroading.com/short_lines_regionals/article/Short-lines-gain-a-new-perspective-on-drone-inspection--59910","","","","—"
"Watco Companies (Ohio River Bridge)","Almost 4,000-ft five-truss bridge (mainline)","Bridge inspection efficiency","Drones used to pre-identify areas for detailed inspection, reducing line shutdown time","—","ARE Corp.","High-resolution imagery; photogrammetry","Inspection time reduced from ~1 week to ~2 days; minimized mainline shutdown","2020","https://www.progressiverailroading.com/short_lines_regionals/article/Short-lines-gain-a-new-perspective-on-drone-inspection--59910","","","","—"
